Tue Jan 01 17:50:38 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:50:38 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:50:39 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BCON100T.llb
Tue Jan 01 17:50:46 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SM.llb
Tue Jan 01 17:50:47 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:50:48 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:53:17 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:53:17 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:53:17 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:53:17 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:53:19 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\BGA.llb
Tue Jan 01 17:53:22 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SM.llb
Tue Jan 01 17:53:24 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:56:58 Saved as file BACKUP1.MAX
Tue Jan 01 17:58:37 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:37 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:37 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:37 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:43 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SOJ.llb
Tue Jan 01 17:58:45 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:52 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SOG.llb
Tue Jan 01 17:58:54 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:55 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:56 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:58:57 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:00 Loaded file C:\Program Files\OrCAD\Layout_Plus\library\SM.llb
Tue Jan 01 17:59:01 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:10 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:11 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:11 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:11 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:12 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:13 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
Tue Jan 01 17:59:13 Loaded file C:\Program Files\OrCAD\Layout_Plus\data\template.imp
